iter	MAE
119	0.4736366491
120	0.4734947093
121	0.4734868131
122	0.4734025184
123	0.4732680674
124	0.4731485464
125	0.4730252052
126	0.4729239719
127	0.4728036261
128	0.4727274183
129	0.4726164542
130	0.4726157127
131	0.4725226357
132	0.4725226383
133	0.4724208662
134	0.4723302917
135	0.4723191915
136	0.4722070345
137	0.472089792
138	0.4719261112
139	0.4718233473
140	0.4717949068
141	0.4717069306
142	0.4716203977
143	0.471607792
144	0.471505861
145	0.4714983111
146	0.4714982876
147	0.4714921035
148	0.4714013844
149	0.4714003725
150	0.4713943664
151	0.4712527187
152	0.4711901649
153	0.4711055923
154	0.4710931667
155	0.4710929312
156	0.4710342192
157	0.4709896439
158	0.4709268791
159	0.4709152624
160	0.4708803583
161	0.4707773974
162	0.4707457929
163	0.4706508424
164	0.4705883363
165	0.4705197403
166	0.4704721924
167	0.4703680331
168	0.4703059923
169	0.4702458175
170	0.4702457918
171	0.4702370179
172	0.4702248835
173	0.4701916399
174	0.4701490871
175	0.4700818252
176	0.4700337095
177	0.4699552336
178	0.4699105547
179	0.4698484478
180	0.4698407407
181	0.4697994717
182	0.4697470991
183	0.4697470702
184	0.4697032519
185	0.4696666525
186	0.4696028768
187	0.4695660546
188	0.4695220807
189	0.4694637183
190	0.4693542679
191	0.4693482789
192	0.4693108063
193	0.4692712086
194	0.4691076683
195	0.4690385296
196	0.4689885697
197	0.4689432994
198	0.4689361739
199	0.468857899
200	0.4688502714
201	0.4688109538
202	0.4687493132
203	0.4687252541
204	0.4687246211
205	0.4686634559
206	0.4686634551
207	0.4686393421
208	0.4686393422
209	0.4685803685
210	0.4685730974
211	0.4685704289
212	0.4685658898
213	0.4685370267
214	0.4685173914
215	0.4685120459
216	0.4685067581
217	0.4684844673
218	0.4684245844
219	0.4684245839
220	0.468416221
221	0.4683562269
222	0.4683562268
223	0.4683549722
224	0.4683549728
225	0.4683113772
226	0.4682711334
227	0.4682066516
228	0.4681510237
229	0.4680878865
230	0.4680863482
231	0.4680863482
232	0.4680701936
233	0.4680362838
234	0.4680162821
235	0.4679669214
236	0.4679218872
237	0.4678848256
238	0.4678535495
239	0.4678076585
240	0.4677855279
241	0.4677561525
242	0.4677344902
243	0.4677323022
244	0.4677196825
245	0.4677044894
246	0.4676922768
247	0.4676545414
248	0.4676545358
249	0.4676212951
250	0.4675710257
251	0.4674766681
252	0.467441559
253	0.4674057635
254	0.4673946215
255	0.4673945766
256	0.4673663145
257	0.4673550139
258	0.4673514842
259	0.4673282773
260	0.4673282775
261	0.4672617343
262	0.4672428826
263	0.4672017599
264	0.4671918668
265	0.4671918448
266	0.4671004618
267	0.4670139653
268	0.4669801996
269	0.4669535774
270	0.4669377097
271	0.4669377094
272	0.4669152993
273	0.4668854495
274	0.4668387989
275	0.4668233028
276	0.4668093947
277	0.466774517
278	0.4667404067
279	0.4667292266
280	0.4666958172
281	0.4666742178
282	0.4666742083
283	0.466663345
284	0.4666511195
285	0.4665907391
286	0.4665565236
287	0.4665110252
288	0.4665045591
289	0.4664854835
290	0.4664658316
291	0.4664657377
292	0.4664599146
293	0.4664598334
294	0.4664534248
295	0.4664470562
296	0.4664368252
297	0.4664368251
298	0.4663790704
299	0.4663625283
300	0.4663059105
301	0.4662692784
302	0.4662411629
303	0.4662123034
304	0.4661988658
305	0.4661925612
306	0.466141145
307	0.4661256515
308	0.4661224066
309	0.4661224064
310	0.4660773473
311	0.4660321451
312	0.4660117702
313	0.46596984
314	0.4659569202
315	0.465948471
316	0.4659484673
317	0.4659432733
318	0.4659245983
319	0.4659089865
320	0.4658787032
321	0.4658699277
322	0.4658494459
323	0.4658275786
324	0.4658134364
325	0.465813303
326	0.4658061689
327	0.4657997479
328	0.4657866894
329	0.4657785011
330	0.465772521
331	0.4657433055
332	0.4657029087
333	0.4656950027
334	0.4656837754
335	0.4656752522
336	0.4656602517
337	0.4656601618
338	0.4656601615
339	0.4656364832
340	0.4656362508
341	0.4656032912
342	0.4656023584
343	0.4655912508
344	0.4655860067
345	0.4655597895
346	0.465544579
347	0.4655389618
348	0.4655240469
349	0.4655148308
350	0.4655095909
351	0.4655001045
352	0.465494439
353	0.4654793241
354	0.4654742549
355	0.4654426884
356	0.4654285191
357	0.4654220253
358	0.4654109704
359	0.4654024934
360	0.4653895916
361	0.4653887176
362	0.4653589738
363	0.4653386776
364	0.4653120164
365	0.465311558
366	0.4653056216
367	0.4652980261
368	0.4652957221
369	0.4652956174
370	0.4652924657
371	0.4652895742
372	0.4652874218
373	0.4652721242
374	0.4652670023
375	0.4652612845
376	0.4652463201
377	0.4652406548
378	0.4652132985
379	0.4651963119
380	0.4651866206
381	0.4651436303
382	0.4651432537
383	0.4651338779
384	0.4651332662
385	0.4651292292
386	0.465123564
387	0.4651183912
388	0.4650899745
389	0.4650899744
390	0.465084802
391	0.4650743075
392	0.4649927411
393	0.4649866863
394	0.4649818572
395	0.4649784159
396	0.4649444352
397	0.464939689
398	0.4649071241
399	0.4649071212
400	0.4649014181
401	0.4648980294
402	0.4648892079
403	0.4648888025
404	0.464888671
405	0.4648872886
406	0.4648547078
407	0.464851305
408	0.4648513053
409	0.4648455747
410	0.464845574
411	0.4648311437
412	0.4648085771
413	0.4647896129
414	0.4647868798
415	0.4647868791
416	0.4647784403
417	0.464768965
418	0.4647689632
419	0.4647606912
420	0.4647592735
421	0.4647572729
422	0.4647334602
423	0.4647330709
424	0.4647274286
425	0.46472692
426	0.4647210656
427	0.4647134015
428	0.464713397
429	0.4646879566
430	0.4646806714
431	0.4646786076
432	0.4646744466
433	0.4646524801
434	0.4646508546
435	0.464649305
436	0.4646411981
437	0.4646411942
438	0.4646294807
439	0.4646294753
440	0.4646196212
441	0.4646176321
442	0.4646111671
443	0.4646072809
444	0.4646057314
445	0.4646049534
446	0.4645715863
447	0.464569168
448	0.4645691643
449	0.4645691348
450	0.4645671257
451	0.4645619854
452	0.4645619731
453	0.4645614311
454	0.4645594258
455	0.4645505264
456	0.4645469625
457	0.4645444487
458	0.4645442137
459	0.464540734
460	0.4645407279
461	0.4645397704
462	0.4645380025
463	0.4645379889
464	0.4645371097
465	0.464535401
466	0.464533769
467	0.4645321189
468	0.4645255303
469	0.4645179205
470	0.4645179116
471	0.4645179095
472	0.4645043842
473	0.4645041063
474	0.4645028488
475	0.4644976158
476	0.4644976039
477	0.4644975867
478	0.4644974691
479	0.4644974664
480	0.4644955109
481	0.4644939129
482	0.4644923718
483	0.4644884166
484	0.4644852425
485	0.4644831035
486	0.464483101
487	0.4644830877
488	0.4644830853
489	0.4644830463
490	0.4644815661
491	0.4644799362
492	0.4644766947
493	0.4644765273
494	0.4644765269
495	0.464476527
496	0.4644397546
497	0.4644393075
498	0.4644377542
499	0.4644343075
500	0.4644325644
501	0.4644254655
502	0.4643985165
503	0.4643968092
504	0.4643952719
505	0.4643947319
506	0.4643932397
507	0.4643932194
508	0.4643755243
509	0.4643702458
510	0.464362858
511	0.4643591246
512	0.4643577826
513	0.4643577804
514	0.4643316768
515	0.464331674
516	0.464331643
517	0.4643316403
518	0.4643248913
519	0.4643248886
520	0.4643177078
521	0.4643163939
522	0.4643163921
523	0.4643163895
524	0.4643163858
525	0.4643162891
526	0.4643100161
527	0.464308966
528	0.4643042695
529	0.4642979551
530	0.4642935632
531	0.4642935606
532	0.4642935486
533	0.4642927184
534	0.4642870867
535	0.4642798627
536	0.4642781793
537	0.4642781775
538	0.4642781465
539	0.4642781444
540	0.4642728765
541	0.4642662993
542	0.4642662689
543	0.4642662676
544	0.4642572284
545	0.464256823
546	0.464256813
547	0.4642568105
548	0.464249918
549	0.464249916
550	0.4642499161
551	0.4642434173
552	0.464240278
553	0.4642337228
554	0.4642337126
555	0.4642337106
556	0.4642272597
557	0.4642045433
558	0.464204541
559	0.4642044824
560	0.4642044362
561	0.4642022482
562	0.4641975122
563	0.4641337602
564	0.4641330426
565	0.4641330423
566	0.4641330404
567	0.4641313485
568	0.4641224228
569	0.4641209551
570	0.4641208578
571	0.464119623
572	0.4641182239
573	0.4641142179
574	0.4641026035
575	0.4641026021
576	0.4640642373
577	0.4640637327
578	0.4640637305
579	0.4640611649
580	0.4640611634
581	0.4640611634
582	0.4640609908
583	0.4640523065
584	0.4640521958
585	0.4640509085
586	0.4639912712
587	0.4639879656
588	0.4639879648
589	0.4639879472
590	0.4639879384
591	0.4639336204
592	0.4639257576
593	0.4638612339
594	0.4638588911
595	0.4638515245
596	0.4638509394
597	0.4638509312
598	0.4638503661
599	0.4638503578
600	0.4638341792
601	0.4638327324
602	0.4638244081
603	0.4638173009
604	0.4638142001
605	0.4638140718
606	0.4638137942
607	0.4638070106
608	0.4637974751
609	0.4637837398
610	0.4637835207
611	0.4637729834
612	0.4637669865
613	0.463766478
614	0.4637595004
615	0.4637551925
616	0.4637524725
617	0.4637524718
618	0.4637524624
619	0.4637487781
620	0.4637464941
621	0.4637464872
622	0.4637464862
623	0.4637462439
624	0.4637164393
625	0.4637062182
626	0.4637062154
627	0.4636763936
628	0.4636757213
629	0.4636694287
630	0.4636685692
631	0.4636685534
632	0.4636683869
633	0.4636621578
634	0.4636401009
635	0.4636228785
636	0.4636057969
637	0.4635982503
638	0.4635970827
639	0.4635969221
640	0.4635967883
641	0.4635966974
642	0.463596165
643	0.4635961636
644	0.463596042
645	0.4635867415
646	0.463573285
647	0.4635686989
648	0.4635630237
649	0.463559057
650	0.4635484687
651	0.4635433065
652	0.4635422999
653	0.4635361044
654	0.4635361016
655	0.4635355399
656	0.4635355373
657	0.4635335888
658	0.4635335823
659	0.4634951433
660	0.4634898358
661	0.4634158102
662	0.4633967665
663	0.4633893149
664	0.4633792321
665	0.4633780549
666	0.4633780265
667	0.4633724852
668	0.4633692178
669	0.4633642507
670	0.4633637122
671	0.4633594621
672	0.463354798
673	0.4633542197
674	0.4633470606
675	0.4633470235
676	0.4633470183
677	0.4633049895
678	0.4632957197
679	0.4632955656
680	0.4632814248
681	0.4632808507
682	0.4632686269
683	0.4632686249
684	0.4632301651
685	0.4632259484
686	0.4632197763
687	0.4632173364
688	0.4632166559
689	0.4632041765
690	0.4631905928
691	0.4631900043
692	0.4631894618
693	0.4631775435
694	0.4631770164
695	0.4631320039
696	0.4631298364
697	0.4631162148
698	0.4631155835
699	0.4631108381
700	0.463079797
701	0.4630792737
702	0.4630757038
703	0.4630380756
704	0.4630338803
705	0.4630194071
706	0.4630013852
707	0.4629937997
708	0.4629728621
709	0.4629711263
710	0.4629706139
711	0.4629650913
712	0.4629597467
713	0.4629525153
714	0.4629453072
715	0.4629399402
716	0.4629399047
717	0.4629394382
718	0.4629383528
719	0.4629242023
720	0.4629241081
721	0.4629013608
722	0.4628995878
723	0.4628960946
724	0.4628947534
725	0.4628748885
726	0.462814772
727	0.4628147646
728	0.4628142749
729	0.462812715
730	0.4628081726
731	0.4628071467
732	0.4628004055
733	0.462794026
734	0.4627887793
735	0.4627887562
736	0.462785726
737	0.4627857126
738	0.4627755194
739	0.462771293
740	0.4627611395
741	0.4627575528
742	0.4627551273
743	0.4627527521
744	0.4627504246
745	0.462744094
746	0.4627436407
747	0.4627422054
748	0.4627417225
749	0.4627395678
750	0.4627381811
751	0.4627330798
752	0.4627089538
753	0.4627079728
754	0.4627067135
755	0.4626924456
756	0.4626915693
757	0.4626875321
758	0.4626863417
759	0.4626862711
760	0.4626767394
761	0.4626362453
762	0.4626358616
763	0.4626307676
764	0.4626306613
765	0.462630248
766	0.4626259847
767	0.46262099
768	0.4626206142
769	0.4625966716
770	0.4625936071
771	0.4625914756
772	0.4625420474
773	0.4625368697
774	0.462521085
775	0.4625199047
776	0.4625096563
777	0.4625060636
778	0.4624877026
779	0.4624875907
780	0.4624706866
781	0.4624700934
782	0.4624696241
783	0.4624452986
784	0.4624449573
785	0.462428768
786	0.4624266153
787	0.462421477
788	0.4623987372
789	0.4623782052
790	0.46237349
791	0.4623637099
792	0.4623115616
793	0.46230529
794	0.4623031483
795	0.462297559
796	0.4622975506
797	0.4622959816
798	0.4622869063
799	0.4622836101
800	0.4622712222
801	0.462271205
802	0.4622592976
803	0.4622346924
804	0.4622196167
805	0.4622196052
806	0.4622135973
807	0.4622028662
808	0.4622024076
809	0.4622019323
810	0.4622018503
811	0.4622018461
812	0.4621771167
813	0.4621647144
814	0.4621644934
815	0.4621604839
816	0.4621602134
817	0.4621597476
818	0.4621569492
819	0.4621435316
820	0.462133852
821	0.4621338408
822	0.4621081993
823	0.4621080281
824	0.4621033504
825	0.4620666297
826	0.4620628309
827	0.4620355034
828	0.4620070518
829	0.4620070087
830	0.4620070014
831	0.4620067436
832	0.4620064069
833	0.4620012965
834	0.4619741017
835	0.4619472114
836	0.4619356343
837	0.461923722
838	0.4619227215
839	0.4619085358
840	0.4619082743
841	0.4619060313
842	0.4619058148
843	0.4619056336
844	0.4619054853
845	0.4618875705
846	0.4618698964
847	0.4618328747
848	0.4618293355
849	0.4618293103
850	0.461822895
851	0.4618194411
852	0.4617599041
853	0.4617438422
854	0.4617375351
855	0.4617374541
856	0.4617259342
857	0.4617255915
858	0.4616864918
859	0.4616781197
860	0.4616769519
861	0.4616657474
862	0.4616504555
863	0.4616145395
864	0.4616070241
865	0.4615925249
866	0.4615848792
867	0.4615794331
868	0.461572336
869	0.4615640052
870	0.4615116594
871	0.4615097964
872	0.4615015449
873	0.461501538
874	0.4615013403
875	0.4614978277
876	0.461495584
877	0.4614748285
878	0.4614716266
879	0.4614716204
880	0.4614542281
881	0.4613915101
882	0.4613772067
883	0.4613759533
884	0.4613642229
885	0.4613625857
886	0.4613530385
887	0.4613480014
888	0.4613472117
889	0.4613354648
890	0.4613319852
891	0.461331709
892	0.4612540981
893	0.4612540094
894	0.4612493346
895	0.4612465516
896	0.4612409638
897	0.4612271384
898	0.4612100713
899	0.4612100689
900	0.46120289
901	0.4612022656
902	0.4611901475
903	0.4611901435
904	0.4611901258
905	0.461182424
906	0.461176656
907	0.4611758526
908	0.4611756427
909	0.4611747915
910	0.4611747816
911	0.4611684207
912	0.4611633393
913	0.461139971
914	0.4611257204
